"id","course_id","course_syllabus_name","status","added_date","modified_date"
"91","99","Syllabus","D","2021-06-30 14:59:26","2023-11-24 20:11:50"
"92","144","Syllabus","A","2021-06-30 15:05:12",NULL
"93","145","Syllabus","A","2021-06-30 15:39:32",NULL
"94","146","Syllabus","A","2021-07-22 13:54:00",NULL
"95","147","Syllabus","A","2021-07-24 13:59:38",NULL
"96","148","Syllabus","A","2021-07-24 15:56:54",NULL
"97","149","Syllabus","A","2021-07-24 17:19:52",NULL
"98","150","Syllabus","A","2021-07-25 17:19:24",NULL
"99","152","Syllabus","A","2021-08-13 16:29:35",NULL
"100","153","Syllabus","A","2021-08-14 11:34:45",NULL
"101","155","Syllabus","A","2021-08-24 14:58:22",NULL
"102","156","Syllabus","A","2021-08-25 10:50:34",NULL
"103","157","Syllabus","A","2021-08-27 14:59:15",NULL
"104","160","Syllabus","A","2021-08-28 15:58:10",NULL
"105","166","Syllabus","A","2021-10-08 15:44:08",NULL
"106","168","Syllabus","A","2021-11-26 13:14:33",NULL
"107","172","Syllabus","A","2022-01-07 17:36:58",NULL
"108","173","Syllabus","A","2022-01-13 16:48:09",NULL
"109","174","Syllabus","A","2022-01-13 18:32:14",NULL
"110","175","Syllabus","A","2022-01-13 20:05:57",NULL
"111","176","Syllabus","A","2022-01-13 20:44:04",NULL
"112","177","Syllabus","A","2022-01-13 21:33:37",NULL
"113","178","Syllabus","A","2022-01-19 12:41:36",NULL
"114","180","Syllabus","A","2022-02-18 20:13:06",NULL
"115","181","Syllabus","A","2022-02-19 12:31:05",NULL
"116","182","Syllabus","A","2022-02-20 05:51:14",NULL
"117","185","Syllabus","A","2022-03-15 18:25:32",NULL
"118","186","Syllabus","A","2022-03-25 20:08:20",NULL
"119","189","Syllabus","A","2022-06-18 14:03:20",NULL
"120","195","Syllabus","A","2022-09-25 12:36:50",NULL
"121","199","Syllabus","A","2022-11-25 14:33:36",NULL
"122","169","Syllabus","A","2022-12-05 10:20:22",NULL
"123","208","Syllabus","A","2023-02-09 13:26:40",NULL
"124","218","Syllabus","A","2023-04-10 12:12:10",NULL
"125","220","Syllabus","A","2023-04-13 18:15:15",NULL
"126","221","Syllabus","A","2023-04-14 16:54:16",NULL
"127","222","Syllabus","A","2023-04-14 17:37:29",NULL
"128","225","Syllabus","A","2023-05-03 16:51:48",NULL
"129","226","Syllabus","A","2023-05-07 11:35:49",NULL
"130","229","Syllabus","A","2023-06-10 15:41:55",NULL
"131","235","Syllabus","A","2023-07-17 15:32:17",NULL
"132","241","Syllabus","A","2023-08-25 18:03:54",NULL
"133","242","Syllabus","A","2023-08-25 19:07:45",NULL
"134","243","Syllabus","A","2023-08-25 19:41:26",NULL
"135","245","Syllabus","A","2023-08-31 21:10:36",NULL
"136","154","Syllabus","D","2023-09-01 11:26:53","2023-09-01 11:09:12"
"137","249","Syllabus","A","2023-09-21 19:50:43",NULL
"138","250","Syllabus","A","2023-09-24 11:44:12",NULL
"139","251","Syllabus","A","2023-09-24 12:49:16",NULL
"140","99","Syllabus","D","2023-11-24 20:04:23","2023-11-24 20:11:55"
"141","99","Syllabus","A","2023-11-24 20:08:07",NULL
"142","260","Syllabus","A","2024-01-06 13:17:49",NULL
"143","268","Syllabus","A","2024-03-01 20:01:36",NULL
"144","161","Syllabus","A","2024-03-04 17:10:40",NULL
"145","272","Syllabus","A","2024-03-20 17:20:41",NULL
"146","273","Syllabus","A","2024-03-22 14:32:34",NULL
"147","102","Syllabus","D","2024-04-05 16:10:01","2024-04-05 16:04:32"
"148","282","Syllabus","A","2024-05-03 16:43:24",NULL
"149","283","Syllabus","A","2024-05-08 16:32:59",NULL
"150","264","Syllabus","A","2024-05-20 17:55:56",NULL
"151","287","Syllabus","A","2024-06-15 15:46:10",NULL
"152","289","Syllabus","A","2024-06-22 13:09:01",NULL
"153","290","Syllabus","A","2024-06-23 13:16:32",NULL
"154","293","Syllabus","A","2024-07-17 23:51:07",NULL
"155","296","Syllabus","A","2024-08-10 14:47:40",NULL
"156","299","Syllabus","A","2024-08-23 13:09:31",NULL
"157","300","Syllabus","A","2024-08-23 15:22:32",NULL
"158","301","Syllabus","A","2024-08-23 20:44:14",NULL
"159","302","Syllabus","A","2024-08-25 14:21:24",NULL
"160","304","Syllabus","A","2024-09-29 15:07:10",NULL
"161","307","Syllabus","A","2024-10-20 15:19:20",NULL
"162","314","Syllabus","D","2025-01-03 22:59:02","2025-01-03 22:01:13"
"163","316","Syllabus","A","2025-01-18 14:33:17",NULL
"164","329","Syllabus","A","2025-02-24 16:36:25",NULL
"165","335","Syllabus","A","2025-03-18 18:54:49",NULL
"166","336","Syllabus","A","2025-04-21 17:41:10",NULL
"167","367","Syllabus","A","2025-11-05 16:28:58",NULL
"168","368","Syllabus","A","2025-11-09 19:34:31",NULL
"169","370","Syllabus","A","2025-12-04 17:00:48",NULL
"170","372","Syllabus","A","2025-12-12 14:07:44",NULL
"171","390","Syllabus","A","2026-06-13 10:46:03",NULL
"172","391","Syllabus","A","2026-06-13 18:17:11",NULL
