"id","course_academia_panel_id","course_id","academia_panel_id","position","status","added_date","modified_date"
"334","6","6","19",NULL,"A","1587473922",NULL
"376","7","7","14",NULL,"A","1587477869",NULL
"377","7","7","19",NULL,"A","1587477869",NULL
"378","7","7","20",NULL,"A","1587477869",NULL
"379","7","7","21",NULL,"A","1587477869",NULL
"380","11","11","1",NULL,"A","1587478333",NULL
"381","11","11","10",NULL,"A","1587478333",NULL
"382","11","11","27",NULL,"A","1587478333",NULL
"383","11","11","28",NULL,"A","1587478333",NULL
"384","11","11","29",NULL,"A","1587478333",NULL
"385","11","11","88",NULL,"A","1587478333",NULL
"386","46","72","1",NULL,"A","1587479920",NULL
"387","46","72","9",NULL,"A","1587479920",NULL
"388","46","72","68",NULL,"A","1587479920",NULL
"389","46","72","72",NULL,"A","1587479920",NULL
"390","46","72","73",NULL,"A","1587479920",NULL
"391","46","72","74",NULL,"A","1587479920",NULL
"392","46","72","84",NULL,"A","1587479920",NULL
"393","46","72","90",NULL,"A","1587479920",NULL
"394","47","74","1",NULL,"A","1587480252",NULL
"395","47","74","4",NULL,"A","1587480252",NULL
"396","47","74","10",NULL,"A","1587480252",NULL
"397","47","74","18",NULL,"A","1587480252",NULL
"398","47","74","23",NULL,"A","1587480252",NULL
"399","25","25","1",NULL,"A","1587811001",NULL
"400","25","25","6",NULL,"A","1587811001",NULL
"401","25","25","9",NULL,"A","1587811001",NULL
"402","25","25","10",NULL,"A","1587811001",NULL
"403","20","20","54",NULL,"A","1587999802",NULL
"404","20","20","55",NULL,"A","1587999802",NULL
"405","20","20","91",NULL,"A","1587999802",NULL
"406","20","20","92",NULL,"A","1587999802",NULL
"407","20","20","93",NULL,"A","1587999802",NULL
"408","50","78","10",NULL,"A","1588586033",NULL
"409","17","15","1",NULL,"A","1589784005",NULL
"410","17","15","31",NULL,"A","1589784005",NULL
"411","17","15","32",NULL,"A","1589784005",NULL
"412","17","15","48",NULL,"A","1589784005",NULL
"413","17","15","49",NULL,"A","1589784005",NULL
"414","17","15","50",NULL,"A","1589784005",NULL
"415","17","15","83",NULL,"A","1589784005",NULL
"442","24","22","1",NULL,"A","1594379997",NULL
"443","24","22","2",NULL,"A","1594379997",NULL
"444","24","22","3",NULL,"A","1594379997",NULL
"445","24","22","4",NULL,"A","1594379997",NULL
"446","24","22","8",NULL,"A","1594379997",NULL
"447","24","22","9",NULL,"A","1594379997",NULL
"448","24","22","10",NULL,"A","1594379998",NULL
"449","24","22","11",NULL,"A","1594379998",NULL
"450","24","22","12",NULL,"A","1594379998",NULL
"451","24","22","15",NULL,"A","1594379998",NULL
"452","24","22","16",NULL,"A","1594379998",NULL
"453","24","22","17",NULL,"A","1594379998",NULL
"454","24","22","18",NULL,"A","1594379998",NULL
"455","24","22","20",NULL,"A","1594379998",NULL
"456","24","22","48",NULL,"A","1594379998",NULL
"457","24","22","81",NULL,"A","1594379998",NULL
"458","24","22","85",NULL,"A","1594379998",NULL
"459","24","22","86",NULL,"A","1594379998",NULL
"460","24","22","87",NULL,"A","1594379998",NULL
"461","24","22","94",NULL,"A","1594379998",NULL
"462","24","22","95",NULL,"A","1594379998",NULL
"463","24","22","97",NULL,"A","1594379998",NULL
"464","30","29","1",NULL,"A","1595326794",NULL
"465","30","29","9",NULL,"A","1595326794",NULL
"466","30","29","62",NULL,"A","1595326794",NULL
"467","30","29","98",NULL,"A","1595326794",NULL
"473","51","95","91",NULL,"A","1595412269",NULL
"474","51","95","92",NULL,"A","1595412269",NULL
"475","51","95","99",NULL,"A","1595412269",NULL
"476","52","71","56",NULL,"A","1595583548",NULL
"477","52","71","58",NULL,"A","1595583548",NULL
"478","52","71","59",NULL,"A","1595583548",NULL
"479","52","71","60",NULL,"A","1595583548",NULL
"499","53","98","1",NULL,"A","1598949928",NULL
"500","53","98","9",NULL,"A","1598949928",NULL
"501","53","98","14",NULL,"A","1598949928",NULL
"534","4","4","7",NULL,"A","1601040184",NULL
"535","4","4","8",NULL,"A","1601040184",NULL
"536","4","4","9",NULL,"A","1601040184",NULL
"537","4","4","10",NULL,"A","1601040184",NULL
"538","4","4","11",NULL,"A","1601040184",NULL
"539","4","4","12",NULL,"A","1601040184",NULL
"540","4","4","13",NULL,"A","1601040184",NULL
"541","4","4","14",NULL,"A","1601040184",NULL
"542","4","4","75",NULL,"A","1601040184",NULL
"543","4","4","102",NULL,"A","1601040184",NULL
"544","4","4","103",NULL,"A","1601040184",NULL
"545","4","4","104",NULL,"A","1601040184",NULL
"546","4","4","105",NULL,"A","1601040184",NULL
"593","55","104","28",NULL,"A","1604305018",NULL
"594","55","104","32",NULL,"A","1604305018",NULL
"595","55","104","48",NULL,"A","1604305018",NULL
"596","55","104","49",NULL,"A","1604305018",NULL
"597","55","104","83",NULL,"A","1604305018",NULL
"598","55","104","87",NULL,"A","1604305018",NULL
"599","55","104","101",NULL,"A","1604305018",NULL
"600","55","104","106",NULL,"A","1604305018",NULL
"601","55","104","107",NULL,"A","1604305018",NULL
"602","55","104","109",NULL,"A","1604305018",NULL
"603","58","99","112",NULL,"A","1607160534",NULL
"616","59","121","1",NULL,"A","1611646484",NULL
"617","59","121","3",NULL,"A","1611646484",NULL
"618","59","121","5",NULL,"A","1611646484",NULL
"619","59","121","6",NULL,"A","1611646484",NULL
"620","59","121","8",NULL,"A","1611646484",NULL
"680","61","131","1",NULL,"A","1618646873",NULL
"681","61","131","28",NULL,"A","1618646873",NULL
"682","61","131","119",NULL,"A","1618646873",NULL
"683","61","131","121",NULL,"A","1618646873",NULL
"700","60","126","28",NULL,"A","1620899778",NULL
"701","60","126","116",NULL,"A","1620899778",NULL
"702","60","126","117",NULL,"A","1620899778",NULL
"703","60","126","118",NULL,"A","1620899778",NULL
"704","60","126","122",NULL,"A","1620899778",NULL
"725","12","9","1",NULL,"A","1620910728",NULL
"726","12","9","23",NULL,"A","1620910728",NULL
"727","12","9","28",NULL,"A","1620910728",NULL
"728","12","9","31",NULL,"A","1620910728",NULL
"729","12","9","32",NULL,"A","1620910728",NULL
"730","12","9","88",NULL,"A","1620910728",NULL
"731","12","9","116",NULL,"A","1620910728",NULL
"732","12","9","117",NULL,"A","1620910728",NULL
"733","12","9","118",NULL,"A","1620910728",NULL
"734","12","9","122",NULL,"A","1620910728",NULL
"735","63","136","93",NULL,"A","1622031497",NULL
"736","64","143","1",NULL,"A","1625041235",NULL
"737","64","143","31",NULL,"A","1625041235",NULL
"738","64","143","32",NULL,"A","1625041235",NULL
"739","64","143","47",NULL,"A","1625041235",NULL
"740","64","143","48",NULL,"A","1625041235",NULL
"741","64","143","49",NULL,"A","1625041235",NULL
"742","64","143","50",NULL,"A","1625041235",NULL
