"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"104","Manjit Bhalla","Senior Associate Advocate -S. S Rana & Co., IP & Corporate Law Firm, New Delhi, India",NULL,"https://www.linkedin.com/in/manjit-bhalla-71abb488/","manjit-bhalla-1617805204.jpg","1617805204",NULL,"A"
"105","Ankit Bhargava","Intellectual Property Attorney- Advocate- Freelancer- Certified Global Paralegal Expert",NULL,"https://www.linkedin.com/in/ankit-bhargava-1b19b8200/","ankit-bhargava-1618648221.jpg","1617805260","1618648222","A"
"106","Abhinav Malhotra","Advocate and Founding Partner",NULL,"https://www.linkedin.com/in/abhinav-malhotra-19b14322/","Not_Given","1618132041",NULL,"A"
"107","Sneha Nagvekar","Senior Associate at AZB & Partners",NULL,"https://www.linkedin.com/in/sneha-nagvekar-32193118/","sneha-nagvekar-1618223307.jpg","1618217196","1618223308","A"
"108","Nishvitha CS","Legal Counsel and Company Secretary",NULL,"https://www.linkedin.com/in/nishvitha-cs-35187163/","nishvitha-cs-1618593386.jpg","1618593386","1685430880","D"
"109","Divya Seth","Dual-licensed lawyer - NY and India, NLU Jodhpur Masters in Law from University of Pennsylvania",NULL,"https://www.linkedin.com/in/divya-seth-49b8b228/","divya-seth-1618593452.jpg","1618593452","1618658792","A"
"110","Harshit Sharma","Ex faculty- Harshit Sharma (pre-recorded lectures), Selected Candidate RJS 2018, AIR-68 DJS 2019, AIR 15 & 23 CLAT PG 2019 & 20, NET Qualified, Doctoral Candidate PhD at NLU, Jodhpur.",NULL,,"harshit-sharma-1618922266.png","1618922266","1637838926","A"
"111","Ramya Kumara Swamy","Dual qualified Lawyer (Advocate, India & Solicitor, UK) with 12 years experience in soft Intellectual Property (IP) both in India and the UK; breadth and depth- trade marks, designs, copyrights, domain name disputes across technology, pharma, retail, manufacturing, mobile games, cosmetic and boutique industries.",NULL,,"ramya-kumara-swamy-1620899571.png","1620899571","1737019972","A"
"112","Himanshu Bhatt","Senior Associate, Remfry & Sagar",NULL,,"himanshu-bhatt-1620899601.png","1620899601","1627135706","A"
"113","Abhishek Singhal","Independent Practitioner, ex-Saikrishna & Associates, ex-L.S. Davar and Co. ex- Masilamani Law Partners",NULL,,"abhishek-singhal-1620899637.png","1620899637",NULL,"A"
"114","Jia Kapur","Independent practitioner, ex- Aneja & Aneja advocates, Masters in law from Queen Mary University",NULL,,"jia-kapur-1620899669.png","1620899669",NULL,"A"
"115","Deeksha Anand","Principal Associate, Sujata Chaudhri IP Attorneys",NULL,,"deeksha-anand-1620910145.png","1620910145",NULL,"A"
"116","Sutapa Jana","Registered patent agent, Acura IP services",NULL,"https://www.linkedin.com/in/sutapa-jana-88717715?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app","sutapa-jana-1724334713.jpg","1620910185","1724334713","A"
"117","Laurie Epstein Marshall","Esq. President and Founder, Marshall Law Group, PLLC",NULL,,"laurie-epstein-marshall-1620984867.png","1620984867",NULL,"A"
"118","Naren Thappeta","US-Qualified Lawyer and Patent Attorney, Indian Patent Agent",NULL,,"naren-thappeta-1621074449.png","1621074449",NULL,"A"
"119","Vindra Richter","Trademark Attorney at Munck Wilson Mandala LLP",NULL,,"vindra-richter-1621074483.png","1621074483",NULL,"A"
"120","Keyur Parikh","Associate at Sterne, Kessler, Goldstein & Fox",NULL,,"keyur-parikh-1621074527.png","1621074527",NULL,"A"
"121","Anisha Mallick","Senior IP Associate, Monroe, ex-LS Dawar & Co.",NULL,,"anisha-mallick-1621074570.png","1621074570",NULL,"A"
"122","Ratul Roshan","Blockchain | Fintech | Data Protection",NULL,"https://www.linkedin.com/in/ratul-roshan-79bb84107/","ratul-roshan-1622031907.jpg","1622031907",NULL,"A"
"123","Chinmay Lenka","Technology & Data Privacy Lawyer. Associate at LawSikho.",NULL,"https://www.linkedin.com/in/bettercallenka/","chinmay-lenka-1698762890.jpg","1623407665","1698918713","A"
"124","Irene Abraham","Associate, Lawsikho, Former Litigator",NULL,"https://www.linkedin.com/in/ireneabraham95/","irene-abraham-1623407885.jpeg","1623407885",NULL,"A"
"125","Sneha Sharma","Associate, Lawsikho",NULL,"https://www.linkedin.com/in/sneha-sharma-b68153104/","sneha-sharma-1623407996.jpeg","1623407996",NULL,"A"
"126","Saurabh Nathany","Startup lawyer in Inventus Law in Texas, adviser for founders in silicon valley, Ex-PWC legal counsel, Ex-HSA",NULL,"https://www.linkedin.com/in/saurabhnathany/","saurabh-nathany-1623459512.jpeg","1623459512",NULL,"A"
"127","Ashita Bhagwan","Managing partner, Inventus Law India since 3+ years, dual licensed (India and U.S.) corporate attorney. Over a decade of experience advising companies, entrepreneurs and investors in a broad spectrum ",NULL,"https://www.linkedin.com/in/ashithabhagwan/","ashita-bhagwan-1623459706.png","1623459706","1648908634","D"
"128","Charitarth Bharti","Technology Law and Policy | Digital Rights| Li Ka Shing Scholar, NUS LKYSPP",NULL,"https://www.linkedin.com/in/charitarth-bharti-98075651/","charitarth-bharti-1624632146.jpg","1624632146",NULL,"A"
"129","Suprotik Das","Corporate Counsel, Attorney-at-law (New York and India) | M&A, SPACs, IPOs",NULL,"https://www.linkedin.com/in/suprotik-das-3297b755/","suprotik-das-1624632188.jpg","1624632188",NULL,"A"
"130","Ankita Srivastava","Sub-course Anchor UGC NET/JRF at LawSikho, UGC - NET Qualified",NULL,"http://linkedin.com/in/ankita-srivastava-915599158","ankita-srivastava-1625125733.jpeg","1625125733",NULL,"A"
"131","Pranusha K. Kulkarni","IIM Ahmedabad (Ph.D. - Public Policy), TISS Mumbai (LL.M. Gold Medalist), UGC - JRF (Law) Qualified and Producer, Editor, and Host - The Final Show",NULL,"https://www.linkedin.com/in/pranusha-kulkarni-35489321","pranusha-k-kulkarni-1625125797.jpeg","1625125797",NULL,"A"
"132","Saima Sultan","Course Anchor, Associate at Lawsikho | BA.LLB Hons. (Gold Medalist), Jamia Millia Islamia University, New Delhi  LLM in Criminal and Security Law (Gold Medalist), RMLNLU Lucknow",NULL,"https://www.linkedin.com/in/saima-sultan-5b0a7212b","saima-sultan-1625747274.jpg","1625747274","1637838874","A"
"133","Saumya Upadhyay","Selected Candidate - AIR 26 CLAT PG 2020 AIR 22 DUET 2020 , Advocate, LLM (Business Laws) at NLSIU, Bangalore",NULL,"https://www.linkedin.com/in/saumya-upadhyay","saumya-upadhyay-1683194428.jpg","1626097086","1683194429","A"
"134","Vishwast Kandpal","Apart from being a practicing advocate in the Uttarakhand High Court, he has reached the interview stage of Uttarakhand State Judiciary twice.",NULL,"https://www.linkedin.com/in/vishwast-kandpal-64b6571b5/","vishwast-kandpal-1626349508.jpeg","1626349508",NULL,"A"
