"id","course_id","module_name","added_date","modified_date","status"
"925","160","Reference Letters for Foreign LLMs","2021-08-28 04:08:15",NULL,"A"
"926","160","Legal Writing & Research","2021-08-28 04:09:50",NULL,"A"
"927","6","REVIEW AND PROOFREAD LEGAL DOCUMENTS","2021-09-09 06:01:12","2022-08-08 03:56:22","A"
"928","6","MAINTENANCE OF RECORDS AND DOCUMENTATION IN A LAW FIRM","2021-09-09 06:02:38","2022-08-08 03:56:10","A"
"929","5","MAINTENANCE OF RECORDS AND DOCUMENTATION IN A LAW FIRM","2021-09-09 06:24:55","2022-08-08 03:53:20","A"
"930","95","Principles of Professional Practice and Knowledge Management","2021-09-09 06:43:16","2022-08-08 03:52:26","A"
"931","2","DOCUMENT DESIGN AND STRUCTURE","2021-09-09 07:32:51","2022-07-16 02:27:55","A"
"932","2","DEVELOPMENT OF LEGAL DOCUMENTS","2021-09-09 07:34:17","2022-07-16 02:28:55","A"
"933","3","Initiation of Criminal Proceedings","2021-09-13 01:11:45",NULL,"A"
"934","3","Post FIR Proceedings","2021-09-13 01:20:49",NULL,"A"
"935","3","Arrest and Bail","2021-09-13 01:43:54",NULL,"A"
"936","3","Investigations","2021-09-13 01:46:21",NULL,"A"
"937","3","Trials","2021-09-13 01:53:39",NULL,"A"
"938","3","Evidence","2021-09-13 01:55:21",NULL,"A"
"939","3","Cross-Examination","2021-09-13 01:57:31",NULL,"A"
"940","3","Appeals and Revision","2021-09-13 01:59:22","2021-09-13 02:03:02","A"
"941","3","Drafting work in criminal litigation","2021-09-13 02:03:21",NULL,"A"
"942","3","Special Legislations","2021-09-13 02:04:43",NULL,"A"
"943","3","Litigation Strategy, Filing and Case Management","2021-09-13 02:06:07",NULL,"A"
"944","3","How to thrive as a criminal lawyer","2021-09-13 02:08:05",NULL,"A"
"945","3","Templates","2021-09-13 02:10:29",NULL,"A"
"946","76","DOCUMENT DESIGN AND STRUCTURE","2021-09-18 01:05:10","2022-08-08 03:50:06","A"
"947","76","DEVELOPMENT OF LEGAL DOCUMENTS","2021-09-18 01:06:25","2022-08-08 03:50:16","A"
"948","166","The American Legal System and Corporate Sector","2021-10-08 03:44:16",NULL,"A"
"949","166","Registering an entity in the US and Conversions","2021-10-08 03:45:53",NULL,"A"
"950","166","Officers, decision making and governance in US companies","2021-10-08 03:50:38",NULL,"A"
"951","166","Changes in capital, share transactions and borrowing transactions","2021-10-08 03:54:01",NULL,"A"
"952","166","Funding methods and investment process","2021-10-08 03:55:45",NULL,"A"
"953","166","Mergers and acquisitions","2021-10-08 03:57:46",NULL,"A"
"954","166","Foreign Corporations","2021-10-08 03:59:48",NULL,"A"
"955","166","US Bankruptcy and insolvency","2021-10-08 04:01:43",NULL,"A"
"956","166","Capital markets and listing","2021-10-08 04:03:13","2021-10-08 04:12:23","A"
"957","166","Takeovers (including hostile takeovers)","2021-10-08 04:06:20",NULL,"A"
"958","166","Corporate litigation","2021-10-08 04:08:36",NULL,"A"
"959","166","Navigating through various platforms to get corporate paralegal opportunities","2021-10-08 04:09:19",NULL,"A"
"960","168","राजस्थान, मध्य प्रदेश, झारखंड, उत्तर प्रदेश, उत्तराखंड, छत्तीसगढ़, बिहार के पेपर पैटर्न पर फोकस है।","2021-11-26 01:16:45","2021-11-26 01:21:17","A"
"961","172","Tax on Business Income","2022-01-07 05:37:11",NULL,"A"
"962","172","Tax on Executive Remuneration: Assessment and Litigation Proceedings","2022-01-07 05:42:08","2024-02-03 07:44:46","A"
"963","172","Tax Deduction at Source/ Withholding Tax: Key litigious issues in domestic and international tax","2022-01-07 05:43:16","2024-02-03 07:45:40","A"
"964","172","Deductibility of business and professional expense","2022-01-07 05:44:46",NULL,"A"
"965","172","Tax on M&A and Other Business Transactions","2022-01-07 05:45:30",NULL,"A"
"966","172","Benami Transactions and Black Money Law","2022-01-07 05:46:33",NULL,"A"
"967","172","How to comply with tax laws","2022-01-07 05:48:32",NULL,"A"
