"id","course_industry_id","course_id","industries_id","status","added_date","modified_date"
"6","1","1","1","A","1571301474",NULL
"7","1","1","6","A","1571301474",NULL
"8","1","1","7","A","1571301474",NULL
"9","1","1","8","A","1571301474",NULL
"10","1","1","9","A","1571301474",NULL
"16","2","2","1","A","1571472557",NULL
"17","2","2","2","A","1571472557",NULL
"18","2","2","4","A","1571472557",NULL
"19","2","2","7","A","1571472557",NULL
"20","2","2","9","A","1571472557",NULL
"21","2","2","10","A","1571472557",NULL
"42","7","7","1","A","1571724833",NULL
"43","7","7","6","A","1571724833",NULL
"44","7","7","7","A","1571724833",NULL
"45","7","7","8","A","1571724833",NULL
"46","7","7","9","A","1571724833",NULL
"52","9","10","1","A","1571735575",NULL
"53","9","10","6","A","1571735575",NULL
"54","9","10","7","A","1571735575",NULL
"55","9","10","8","A","1571735575",NULL
"56","9","10","9","A","1571735575",NULL
"69","12","11","11","A","1571741205",NULL
"70","12","11","12","A","1571741205",NULL
"71","12","11","13","A","1571741205",NULL
"72","12","11","14","A","1571741205",NULL
"73","12","11","15","A","1571741205",NULL
"74","12","11","16","A","1571741205",NULL
"75","12","11","17","A","1571741205",NULL
"76","12","11","18","A","1571741205",NULL
"77","12","11","19","A","1571741205",NULL
"78","12","11","20","A","1571741205",NULL
"79","13","13","1","A","1571748939",NULL
"80","13","13","6","A","1571748939",NULL
"81","13","13","7","A","1571748939",NULL
"82","13","13","8","A","1571748939",NULL
"83","13","13","9","A","1571748939",NULL
"84","14","14","1","A","1571749137",NULL
"85","14","14","7","A","1571749137",NULL
"91","16","15","7","A","1571812522",NULL
"92","16","15","8","A","1571812522",NULL
"93","16","15","12","A","1571812522",NULL
"94","16","15","15","A","1571812522",NULL
"95","16","15","16","A","1571812522",NULL
"96","16","15","19","A","1571812522",NULL
"97","16","15","20","A","1571812522",NULL
"106","17","15","7","A","1571813133",NULL
"107","17","15","8","A","1571813133",NULL
"108","17","15","12","A","1571813133",NULL
"109","17","15","15","A","1571813133",NULL
"110","17","15","16","A","1571813133",NULL
"111","17","15","19","A","1571813133",NULL
"112","17","15","20","A","1571813133",NULL
"113","17","15","21","A","1571813133",NULL
