"id","person_name","person_designation","person_organisation","person_linkedin","person_website_link","status","image_name","added_date","modified_date"
"42","Akshay Ubale","Partner, Triumvir Law",NULL,"https://www.linkedin.com/in/akshay-ubale-147b243a/",NULL,"A","Akshay Ubale-1571750894.jpg","1571750850","1571750894"
"43","Anubhab Sarkar","Partner - Triumvir Law, Ex-JSA, KIIT Law School",NULL,"https://www.linkedin.com/in/anubhab-sarkar-6a380a53/",,"A","Anubhab Sarkar-1571751063.jpg","1571751063","1618656238"
"44","Arjun Natarajan","Advocate",NULL,"https://www.linkedin.com/in/arjunnatarajan/",,"A","Arjun Natarajan-1612613744.jpg","1571751261","1612613744"
"45","Prathik Cheralathammanda","Partner, Triumvir Law",NULL,"https://www.linkedin.com/in/prathik-cheralathammanda-053665a5/",NULL,"A","Prathik Cheralathammanda-1571751530.jpg","1571751530",NULL
"46","Shalvi Mehta","Advocate, Saurin Mehta & Associates, Ex-AM Legals, GNLU",NULL,"https://www.linkedin.com/in/shalvi-s-mehta-a269b9ab/",,"A","Shalvi Mehta-1571751558.jpg","1571751558","1618656252"
"47","Ameet Datta","Partner, Saikrishna & Associates",NULL,"https://www.linkedin.com/in/ameet-datta-3386184/",,"A","Ameet Datta-1589783986.jpg","1571813807","1589783986"
"48","Hiren Kamod","Counsel, Bombay High Court (Former Senior Associate with Kane & Company)",NULL,"https://www.linkedin.com/in/hiren-kamod-b908309/",NULL,"A","Hiren Kamod-1571813893.png","1571813893",NULL
"49","Nayan Rawal","IP Attorney, NRALAW",NULL,"linkedin.com/in/rawalnayan/",NULL,"A","Nayan Rawal-1571813980.jpg","1571813980",NULL
"50","Vasundhara Shankar","Co-Founder, UltraWired Founder, Verum Legal",NULL,"https://www.linkedin.com/in/vasundhara-shankar-71b31957/",NULL,"A","Vasundhara Shankar-1571814020.jpg","1571814020",NULL
"51","Anand Narayan","Manager - Legal, Anand Rathi",NULL,"https://www.linkedin.com/in/anand-narayan-63b37520/",NULL,"A","Anand Narayan-1571814938.jpg","1571814938",NULL
"52","Chaitanya Bhamidipaty","Ex Associate, Cyril Amarchand Mangaldas",NULL,"https://www.linkedin.com/in/chaitanya-bhamidipaty-b4a46b8a/?locale=de_DE",NULL,"A","Chaitanya Bhamidipaty-1571814982.jpg","1571814982",NULL
"53","Pranav Agarwal","Lawyer, (Ex Associate, Khaitan & Co.)",NULL,"https://www.linkedin.com/in/-pranav-agarwal/",NULL,"A","Pranav Agarwal-1571815025.jpg","1571815025",NULL
"54","Devika Singh","Corporate Lawyer (Former Associate at Dua, Archer and Angel and Clasis Law)",NULL,,NULL,"A","Devika Singh-1571817940.jpg","1571817940",NULL
"55","Shatarupa Chaki","Deputy Vice President - HR at The Oberoi Group",NULL,"https://www.linkedin.com/in/shatarupa-chaki-b511b01/?originalSubdomain=in",NULL,"A","Shatarupa Chaki-1571817978.jpg","1571817978",NULL
"56","Dr. Ranjana Kaul","Former Member of Delhi Commission of Women member",NULL,"https://www.linkedin.com/in/ranjana-kaul-b734bb15/?originalSubdomain=in",NULL,"A","Dr. Ranjana Kaul-1571819072.jpg","1571819072",NULL
"57","Shwetasree Majumder","Founder, Fidus Law Chambers (was on Verma Committee Panel)",NULL,"https://www.linkedin.com/in/shwetasree/?originalSubdomain=in",NULL,"A","Shwetasree Majumder-1571819364.jpg","1571819364",NULL
"58","Siboney Sagar","Legal and Regulatory Counsel, Start India",NULL,"https://www.linkedin.com/in/siboney-s-s-9b154b1/",,"A","Siboney Sagar-1572446803.jpeg","1571819519","1572446803"
"59","Sonal Mattoo","Director, Helping Hands",NULL,"https://www.linkedin.com/in/sonalmattoo/?originalSubdomain=in",NULL,"A","Sonal Mattoo-1571819591.jpg","1571819591",NULL
"60","Sunila Awasthi","Corporate lawyer who has worked on sexual harassment issues for over a decade (partner at AZB)",NULL,"https://www.linkedin.com/in/sunila-awasthi-4ba0396/?originalSubdomain=in",NULL,"A","Sunila Awasthi-1571819710.jpg","1571819710",NULL
"61","Abhinav Ashwin","Tax Partner (Taxation), AZB & Partners",NULL,,NULL,"A","Abhinav Ashwin-1571826988.jpg","1571826988",NULL
"62","Rajeev Doharey","Manager Legal at Global Energy Pvt. Ltd.",NULL,"https://www.linkedin.com/in/rajeev-doharey-57097816/",NULL,"A","Rajeev Doharey-1571828625.jfif","1571828625",NULL
"63","Abraham Mathews","Advocate, Supreme Court and Chartered Accountan",NULL,"https://www.linkedin.com/in/matabrahamc/",NULL,"A","Abraham Mathews-1571996279.jpg","1571996279",NULL
"64","Suvir Sharma","Associate Partner, Triumph Legal",NULL,"https://www.linkedin.com/in/suvir-sharma-71903b2a/",,"A","Suvir Sharma-1573563568.png","1573563568",NULL
"65","Puneet Bhasin","Founding Partner, Cyberjure Legal Consulting",NULL,"https://www.linkedin.com/in/advpuneetbhasincyberlawyer?originalSubdomain=zw",,"A","Puneet Bhasin-1573638647.jpg","1573638647",NULL
"66","Dr. Sanjay Patra","Executive Director, Financial Management Services Foundation and Chartered Accountant",NULL,"https://www.linkedin.com/in/dr-sanjay-patra-b0425730/","http://fmsfindia.org.in/pdf/profile-spatra.pdf","A","Dr. Sanjay Patra-1573674053.jpg","1573674053",NULL
"67","Anandh Venkataramani","Advocate, Competition Law, Chambers of Rajshekhar Rao",NULL,"https://www.linkedin.com/in/anandh-venkataramani-52288781/?originalSubdomain=in","https://superlawyer.in/anandh-venkataramani-associate-shardul-amarchand-mangaldas-competition-law-studying-in-us-teaching-experience/","A","Anandh Venkataramani-1573676212.jpg","1573676212",NULL
"68","Gautam Shahi","Specialist Regulatory Law and Policy, Ex- Trilegal, Ex- Jyoti Sagar Associates",NULL,"https://www.linkedin.com/in/gautam-shahi-1a2b689/",,"A","Gautam Shahi-1579523560.jpg","1573676239","1579523560"
"69","Jay Sayta","Gambling Laws Expert and Founder, GLaws",NULL,"https://www.linkedin.com/in/jay-sayta-95477529/?originalSubdomain=in",,"A","Jay Sayta-1573679201.jpg","1573679201",NULL
"70","Nagaraja. B Subbarao","Managing Attorney, IP Lex Global Services",NULL,"https://www.linkedin.com/in/nagaraja-b-subbarao-81548510/",,"A","Nagaraja. B Subbarao-1573744044.jpg","1573744044",NULL
"71","Badrinath Srinivasan","Arbitrator, Mediator, FIII, & Senior Executive (Law) at Bharat Heavy Electricals Limited",NULL,"https://www.linkedin.com/in/badrinath-srinivasan-91660413/",,"A","Badrinath Srinivasan-1573766909.jpg","1573766909",NULL
"72","Lagna Panda","Advocate",NULL,"https://www.linkedin.com/in/lagna27/",,"A","Lagna Panda-1579521486.jpg","1579521486",NULL
"73","Sweta Rath","Pursuing Independent Projects",NULL,"https://www.linkedin.com/in/sweta-rath-54931562/",,"A","Sweta Rath-1579521533.jpg","1579521533",NULL
"74","Avinash Amarnath","Advocate, Supreme Court of India",NULL,"https://www.linkedin.com/in/avinash-amarnath-04294217/?originalSubdomain=in",,"A","Avinash Amarnath-1579530508.jpg","1579530508",NULL
"75","Prabal Goel","Banking, finance and private equity lawyer and IBC professional",NULL,"https://www.linkedin.com/in/prabal-goel-58964b32/?originalSubdomain=in",,"D","Prabal Goel-1586348188.jpg","1586348188","1709219484"
"76","Jayantika Ganguly","Lawyer. Writer. Sherlockian. Traveller. Dreamer. Life Coach.",NULL,"https://www.linkedin.com/in/jayantika-ganguly-649b7421/",,"A","Jayantika Ganguly-1586348390.jpg","1586348390",NULL
"77","Isha Sinha","Senior Associate, Dispute Resolution",NULL,"https://www.linkedin.com/in/isha-sinha-b09a8242/",,"A","Isha Sinha-1586361437.jpg","1586361437",NULL
"78","Karan Khanna","Lawyer",NULL,"https://www.linkedin.com/in/karan-khanna-8767a568/",,"A","Karan Khanna-1586361475.jpg","1586361475",NULL
"79","Sukanya Bhaumik","Advocate, Worked earlier with AZB, Khaitan & Yes Bank",NULL,"https://www.linkedin.com/in/sukanya-bhaumik-61a1381b/",,"A","Sukanya Bhaumik-1586361792.jpg","1586361792",NULL
"80","Ruchika Motwani","Advocate",NULL,"https://www.linkedin.com/in/ruchika-motwani-b54b0388/",,"A","Ruchika Motwani-1586519539.jpg","1586519539",NULL
"81","Heema Shirvaikar","Former Legal Counsel, Screenwriters Association of India",NULL,,"https://www.linkedin.com/in/heema-shirvaikar-45464a100/","A","Heema Shirvaikar-1586963971.jpg","1586963971",NULL
"82","Tripti Dhar","Partner- Reina Legal",NULL,"https://www.linkedin.com/in/dhartripti/?originalSubdomain=in",,"A","Tripti Dhar-1586965455.jpg","1586965455",NULL
"83","Niharika Malhotra","Associate at Dodd & Co.",NULL,"https://www.linkedin.com/in/niharika-malhotra-0b102638/",,"A","Niharika Malhotra-1587138680.jpg","1587138680",NULL
"84","Aarushi Jain","Competition Lawyer",NULL,"https://www.linkedin.com/in/aarushi-jain-429b4a4a/",,"A","Aarushi Jain-1587371662.jpg","1587371662",NULL
"85","Nikhil Jain","IBC Lawyer - RSA Law Consultants",NULL,"https://www.linkedin.com/in/nikhil-jain-765ab744/",,"A","Nikhil Jain-1587474947.jpg","1587474947",NULL
"86","Kabir Phadke","Associate- Rajaram Associates",NULL,"https://www.linkedin.com/in/kp1/",,"A","Kabir Phadke-1587475515.jpg","1587475515",NULL
"87","Janaksinh Jhalla","Principal Associate- Khaitan & Co.",NULL,"https://www.linkedin.com/in/janaksinh-jhala-937ba618/?originalSubdomain=in",,"A","Janaksinh Jhalla-1600013349.jpg","1587475591","1600013349"
"88","Prachi Shah","Senior Associate, LawSikho",NULL,"https://www.linkedin.com/in/prachi-shah-150110120/",,"A","Prachi Shah-1587476672.jpg","1587476672",NULL
"89","Roshan Santhalia","Advocate on Record, Supreme Court",NULL,"https://www.linkedin.com/in/roshan-santhalia-59969b34/",,"A","Roshan Santhalia-1587477404.jpg","1587477404",NULL
