"id","person_name","person_designation","person_organisation","person_linkedin","person_website_link","status","image_name","added_date","modified_date"
"145","Vatsal M. Parikh","Mr. Vatsal M. Parikh is a member of the International Bar Association and several elite International Arbitration Institutions. He is currently working as a Paralegal in the Financial Conduct Authorit",NULL,"https://www.linkedin.com/in/vatsalmparikh2017adv",,"A","vatsal-m-parikh-1685776763.jpg","1685776763",NULL
"146","Rajveer Singh Agri:","Principal associate at Lawsikho",NULL,"https://in.linkedin.com/in/rajveer-singh-agri-421b45150",,"A","rajveer-singh-agri-1685955718.png","1685955718",NULL
"147","Suprotik Das","NYU LLM, Dual-qualified attorney (New York and India, lives in New York), Ex-Cyril Amarchand Mangaldas",NULL,,,"A","Not_Given","1698929297",NULL
"148","Neha Rastogi","CA + LLB, India and New York qualified lawyer, Associate at Ruchelman P.L.L.C will take some guest lectures on US tax laws and compliance",NULL,,,"A","Not_Given","1698929317",NULL
"149","Svetlana Kamyshanskaya","Attorney and Startup Advisor, Primum Law Group, San Francisco, having 20+ years of experience",NULL,,,"A","Not_Given","1698929335",NULL
"150","Prof. Sitharamam Kakarala","He has previously taught at Azim Premji University, NLSIU Bangalore, and others. He holds a Ph.D. in Political Science, an LLM in Human Rights Law, and an MA in Political Philosophy.",NULL,,,"A","prof-sitharamam-kakarala-1745237095.png","1745237095","1745412558"
"151","Prof. Krishna Ravi Srinivas","He holds PhD from NLSIU, Bangalore, and ,is an Adjunct Professor at NALSAR. He teaches on, inter alia, the regulation of law and technology and is Director, CoE in AI and Law, NALSAR University.",NULL,,,"A","prof-krishna-ravi-srinivas-1745237115.jpg","1745237115","1746777127"
"152","Dr. Vivek Pani","Vivek Pani, a marketing professor passionate about consumer-brand relationships, earned his MBA from NALSAR and began his doctoral studies at IIM Kashipur in 2017.",NULL,,,"A","dr-vivek-pani-1745237129.png","1745237129","1745412594"
"153","Mr. Ashwini Kumar","Specializing in Jurisprudence during his LLM, he was influenced by Rousseau’s views on inequality and conducted surveys on health, education, and rural jobs via the Law and Poverty Clinic.",NULL,,,"A","mr-ashwini-kumar-1745413443.png","1745237145","1745413443"
"154","Prof. Srikrishna Deva Rao","Vice Chancellor, NALSAR | He is a distinguished legal scholar specializing in criminal law and access to justice. Prof Rao has previously held leadership roles at NLU Delhi and NLU Odisha",NULL,,,"A","prof-srikrishna-deva-rao-1745237167.png","1745237167","1745417748"
"155","Mr. Sunishth Goyal","He previously taught at BML Munjal University and holds a B.A. LL.B. (Hons.) from NALSAR and an LL.M. from Maastricht University.",NULL,,,"A","mr-sunishth-goyal-1745237187.png","1745237187","1745412621"
"156","Dr. A. Sridhar","He has 10+ years' experience as a Company Secretary in corporate law. He holds an LL.M. from NALSAR and a Ph.D. on aviation competition from Osmania University.",NULL,,,"A","dr-a-sridhar-1745413414.png","1745237203","1745413414"
"157","Dr. Kiran Bayola","He is a DSNLU graduate. He earned an LL.M. in Business Laws with distinction from Andhra University and holds a PG Diploma in Social Exclusion.",NULL,,,"A","dr-kiran-bayola-1745237221.png","1745237221","1745412653"
"158","Mr. Sourabh Bharti","He specializes in Intellectual Property Law. He holds an LL.M. from NALSAR, an LL.B. from Delhi University, and a B.Sc. from GGM Science College.",NULL,,,"A","mr-sourabh-bharti-1745413429.png","1745237241","1745413429"
"159","Dr. Rohan Cherian Thomas","He holds a B.Sc. LL.B. (Hons.) from GNLU and completed both his LL.M. and Ph.D. in Performer’s Rights from NLUJ.",NULL,,,"A","dr-rohan-cherian-thomas-1745237258.png","1745237258","1745412687"
"160","Dr. Rajesh Kapoor","Mr. Rajesh Kapoor completed his B.S.L. LL.B. degree from Symbiosis Law College University of Pune and LL.M. from King’s College London, University of London.",NULL,,,"A","dr-rajesh-kapoor-1745237276.png","1745237276","1745412715"
"161","Prof. Aruna B. Venkat","She holds a Ph.D. in Law from Delhi University and has a Sociology background from Miranda House and Delhi School of Economics.",NULL,,,"A","prof-aruna-b-venkat-1745413283.png","1745237290","1745413283"
"162","Pranav Bhanot","ranav Bhanot is the founding partner of WYN Legal, a digital law firm dedicated to resolving legal disputes through access to our on-demand and cost-effective litigators.  Having trained at a firm in ",NULL,"https://www.linkedin.com/in/pranavbhanot?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app",,"A","pranav-bhanot-1746194106.png","1746194106",NULL
