"id","title","status","url_masking","ap_portal_course_catagory_id"
117,"US Technology Law and Paralegal Studies: Structuring, Contracts, Compliance, Disputes and Policy Advocacy","A","us-technology-law-and-paralegal-studies-structuring-contracts-compliance-disputes-and-policy-advocacy",10
118,"Intellectual Property: Prosecution, licensing and litigation","A","intellectual-property-prosecution-licensing-and-litigation",10
120,"Media and Entertainment Law: Contracts, Licensing and Regulations","A","certification-course-in-media-and-entertainment-law-contracts-and-licensing",10
122,"Competition Law, Practice And Enforcement","A","competition-law-practice-and-enforcement",10
123,"Capital Markets, Securities Laws, Insider Trading and SEBI Litigation","A","capital-markets-securities-laws-insider-trading-and-sebi-litigation",10
124,"Law Firm Practice: Research, Drafting, Briefing and Client Management","A","law-firm-practice-research-drafting-briefing-and-client-management",10
125,"International  Business Law","A","international--business-law",10
126,"Master of Laws Program from Warsaw Management University in Association with LawSikho","A","master-of-laws-program-from-warsaw-management-university-in-association-with-lawsikho",15
127,"Banking & Finance Practice: Contracts, Disputes & Recovery","A","banking--finance-practice-contracts-disputes--recovery",10
128,"National Company Law Tribunal (NCLT) Litigation","A","national-company-law-tribunal-nclt-litigation",10
130,"Test Prep Course for Certified Information Privacy Professional Exam/EU","A","test-prep-course-for-certified-information-privacy-professional-exameu",5
131,"Test Prep Course for Certified Information Privacy Professional Exam/Canada","A","test-prep-course-for-certified-information-privacy-professional-examcanada",5
133,"Master of Laws (LL.M.) in International Trade and Taxation in association with Warsaw Management University","A","master-of-laws-llm-in-international-trade-and-taxation-in-association-with-warsaw-management-university",1
134,"Master of Laws (LL.M.) in Business Laws and Commercial Transactions in association with Warsaw Management University","A","master-of-laws-llm-in-business-laws-and-commercial-transactions-in-association-with-warsaw-management-university",1
135,"6-Month Growth Camp: Preparation for LLM Abroad","A","6-month-growth-camp-preparation-for-llm-abroad",13
136,"Crack California Bar Examination - Test Prep Course","A","crack-california-bar-examination---test-prep-course",5
137,"Crack The Solicitors Qualifying Examination (SQE 1)","A","crack-the-solicitors-qualifying-examination-sqe",5
138,"Crack NCA - Canada Examination - Test Prep Course","A","crack-nca---canada-bar-examination---test-prep-course",5
141,"US Corporate Law for Company Secretaries and Chartered Accountants","A","us-corporate-law-for-company-secretaries-and-chartered-accountants",10
142,"Customs Brokers Licensing Regulation Examination","A","customs-brokers-licensing-regulation-examination",5
143,"ज्यूडिशियरी की  तैयारी हेतु पाठ्यक्रम (अबकी बार, 'ज्यूडिशियरी' पार)","A","judiciary-course-test-prep-hindi",1
144,"Diploma in US Corporate Law and Paralegal Studies Tech Test","A","test-course-2",13
147,"Tax Litigation and Advanced Corporate Taxation","A","advanced-corporate-taxation-gaar-mat-tds-dtaa",10
148,"Certificate Course in Corporate Social Responsibility","A","certificate-course-in-corporate-social-responsibility",2
150,"Certificate Course in Corporate Governance for HR Managers","A","certificate-course-in-corporate-governance-for-hr-managers",2
155,"Domestic & International Commercial Arbitration","A","domestic--international-commercial-arbitration",10
156,"Diploma in Advanced Supreme Court Practice and Litigation: Drafting, Procedure and Strategy PLUS Comprehensive Training to Crack the Advocate on Record Examination","A","diploma-in-advanced-supreme-court-practice-and-litigation-drafting-procedure-and-strategy-plus-comprehensive-training-to-crack-the-advocate-on-record-examination",1
157,"Corporate Litigation","A","corporate-litigation",10
159,"2-day online workshop on Due Diligence in M&A","A","2-day-online-workshop-on-due-diligence-in-ma",5
160,"Startup Generalist & Virtual Assistant Training Program","A","remote-job--virtual-assistant-training-program",11
161,"Certificate Course in Content Strategy and Article-Writing","A","certificate-course-in-content-strategy-and-article-writing",11
162,"Crack Barrister and Solicitor Examination  - Canada","A","crack-barrister-and-solicitor-examination----canada",16
255,"Internship Acceleration Program for Law Students","A","internship-acceleration-program-for-law-students",20
164,"Certificate Course in US Real Estate & Paralegal Studies","A","certificate-course-in-us-real-estate--paralegal-studies",10
165,"Crack The Solicitors Qualifying Examination (SQE 2)","A","crack-the-solicitors-qualifying-examination-sqe-2",16
166,"Bank Law Officer Exam -  Preparation Course","A","ibps-specialist-officer---law-test-preparation-course",5
168,"Certificate Course Legal English for Contract Drafting","A","certificate-course-legal-english-for-contract-drafting",2
170,"US Tax Compliance and Paralegal Work","A","us-tax-compliance-and-paralegal-work",10
173,"Personal Branding Program for Corporate Leaders","A","personal-branding-program-for-corporate-leaders",10
174,"Certificate Course in Corporate Governance for Directors and CXOs","A","certificate-course-in-corporate-governance-for-directors-and-cxos",11
175,"20 Test course by tech Team after new assignment portal edited2","A","20-test-course-by-tech-team-after-new-assignment-portal-edited2",10
182,"1 Hour Masterclass on - How to Protect Your Client From False Cases","A","1-hour-masterclass-on---how-to-protect-your-client-from-false-cases",2
183,"Uttar Pradesh Civil Judge (Junior Division) Mains Mock Test Series","A","uttar-pradesh-civil-judge-junior-division-mains-mock-test-series",5
193,"Information Technology Laws- Adamas","A","information-technology-laws--adamas",2
194,"How to automate HR function using AI","A","how-to-automate-hr-function-using-ai",11
195,"Executive Certificate Course in International Labour Laws & Compliance: US, UK, Canada, Singapore, Dubai","A","executive-certificate-course-in-international-labour-laws--compliance-us-uk-canada-singapore-dubai",11
256,"SEBI Grade A Officer (General Stream) Test Prep Course","A","sebi-grade-a-officer-general-stream-test-prep-course",5
199,"Diploma in Corporate Law & Practice: Transactions, Governance and Disputes","A","diploma-in-corporate-law--practice-transactions-governance-and-disputes",1
202,"Uttarakhand Civil Judge (Junior Division) Mains Mock Test Series","A","uttarakhand-civil-judge-junior-division-mains-mock-test-series",5
203,"Executive Certificate Course in US Accounting and Bookkeeping","A","executive-certificate-course-in-us-accounting-and-bookkeeping",10
204,"Tamil Nadu Civil Judge (Junior Division) Prelims Mock Test Series","A","tamil-nadu-civil-judge-junior-division-prelims-mock-test-series",5
210,"Bihar Civil Judge (Junior Division) Mains Mock Test Series","A","bihar-civil-judge-junior-division-mains-mock-test-series",5
211,"Karnataka Civil Judge (Junior Division) Mains Mock Test Series","A","karnataka-civil-judge-junior-division-mains-mock-test-series",5
214,"Corporate Law - Adamas","A","corporate-law---adamas",2
216,"Executive Certificate Course in Legal Practice Development and Management","A","certificate-course-in-legal-practice-development-and-management",10
217,"Remote freelancing and profile building program","A","remote-freelancing-and-profile-building-program",10
218,"Tamil Nadu Civil Judge (Junior Division) Mains Mock Test Series","A","tamil-nadu-civil-judge-junior-division-mains-mock-test-series",5
220,"Jharkhand Civil Judge- Prelims 2023  mock test series","A","jharkhand-civil-judge--prelims-2023--mock-test-series",5
221,"Jammu and Kashmir Civil Judge (Junior Division) Prelims Mock Test Series","A","jammu-and-kashmir-civil-judge-junior-division-prelims-mock-test-series",5
222,"Maharashtra - Mains 2024  mock test series","A","maharashtra---mains-2024--mock-test-series",5
223,"Indian Data Protection and Privacy Laws: Implementation, Compliance and Regulatory Litigation","A","indian-data-protection-and-privacy-laws-implementation-compliance-and-regulatory-litigation",10
227,"Jammu and Kashmir Civil Judge - Mains mock test series","A","jammu-and-kashmir-civil-judge---mains-mock-test-series",5
230,"Madhya Pradesh Judge- Prelims 2023  mock test series","A","madhya-pradesh-judge--prelims-2023--mock-test-series",5
215,"Training Program on How to Use AI to Grow Your Legal Practice","A","how-to-use-ai-to-grow-your-legal-practice",10
225,"Global Information Privacy Professional Certification Readiness Program (EU GDPR, US, Canada, Asia)","A","test-prep-course-for-certified-information-privacy-professional-exam-cipp-eu-gdpr-us-ccpa-cpra-canada",16
233,"Delhi Civil Judge (Junior Division) Mains Mock Test Series","A","delhi-civil-judge-junior-division-mains-mock-test-series",5
234,"Arbitrator Training Program","A","arbitrator-training-program",11
235,"Haryana Civil Judge (Junior Division) Prelims Mock Test Series","A","haryana-civil-judge-junior-division-prelims-mock-test-series",5
236,"Madhya Pradesh Civil Judge (Junior Division) Mains Mock Test Series","A","madhya-pradesh-civil-judge-junior-division-mains-mock-test-series",5
238,"International Taxation and Transfer Pricing","A","international-taxation-and-transfer-pricing",10
239,"CUET PG  (LLM)  Mock Test Series","A","cuet-pg--llm--mock-test-series",5
240,"Jharkhand Civil Judge (Junior Division) Prelims Mock Test Series","A","jharkhand-civil-judge-junior-division-prelims-mock-test-series",5
242,"Sports Law, Fashion and Online Gaming","A","sports-law-fashion-and-online-gaming",10
249,"Jharkhand Civil Judge (Junior Division) Mains Mock Test Series","A","jharkhand-civil-judge-junior-division-mains-mock-test-series",5
250,"Haryana Civil Judge (Junior Division) Mains Mock Test Series","A","haryana-civil-judge-junior-division-mains-mock-test-series",5
252,"Rajasthan Civil Judge (Junior Division) Prelims Mock Test Series","A","rajasthan-civil-judge-junior-division-prelims-mock-test-series",5
258,"UGC NET/JRF (Law) Exam Mock Test Series","A","ugc-netjrf-law-exam-mock-test-series",5
259,"Kerala Civil Judge (Junior Division) Mains Mock Test Series","A","kerala-civil-judge-junior-division-mains-mock-test-series",5
260,"Odisha Civil Judge (Junior Division) Prelims Mock Test Series","A","odisha-civil-judge-junior-division-prelims-mock-test-series",5
261,"Supreme Court Drafting and Procedure for Junior Lawyers","A","supreme-court-drafting-and-procedure-for-junior-lawyers",10
262,"Training Program in Digital marketing and personal branding for Lawyers","A","training-program-in-digital-marketing-and-personal-branding-for-lawyers",10
263,"Training Program Legal Services Automation & AI","A","legal-services-automation--ai",13
264,"Rajasthan Civil Judge (Junior Division) Mains Mock Test Series","A","rajasthan-civil-judge-junior-division-mains-mock-test-series",5
265,"Telangana Civil Judge (Junior Division) Mains Mock Test Series","A","telangana-civil-judge-junior-division-mains-mock-test-series",5
266,"Odisha Civil Judge (Junior Division) Mains Mock Test Series","A","odisha-civil-judge-junior-division-mains-mock-test-series",5
269,"Networking and job hunting program in banking, finance and securities industry","A","networking-and-job-hunting-program-in-banking-finance-and-securities-industry",10
272,"Patent Law & Analysis (USPTO): Searches, Specifications, Prosecution,  Litigation and Licensing","A","certificate-course-in-patent-law-licensing-claims-and-litigation",10
273,"Patent Agent Professional Development Program","A","training-program-in-patent-agent-exam",16
274,"Patent Examiner Readiness & Professional Skills Program","A","training-program-in-cracking-the-patent-examiner-exam",16
275,"International Job Hunt Accelerator Program","A","international-job-hunt-accelerator-program",10
277,"Practical Insolvency Management: Business Operations, Administration & Strategy","A","practical-insolvency-management-business-operations-administration-strategy",10
278,"IBPS SO  Law Officer 2024 Prelims Mock Test Series","A","ibps-so--law-officer-2024-prelims-mock-test-series",5
279,"Acceleration Program for Academic Writing, Interview Prep, and Teaching for UGC-NET Aspirants","A","acceleration-program-for-academic-writing-interview-prep-and-teaching-for-ugc-net-aspirants",1
